,Vdrive,X,Y,endTime,freq,sensitivity,startTime
4,1.5,0.000243824325,0.0002736269375,1542860876.86,84.5,0.05,1542860870.29
5,1.5,0.0002426317625,0.000262421266667,1542860883.91,84.4,0.05,1542860876.87
6,1.5,0.0002470035,0.000250102929167,1542860890.88,84.3,0.05,1542860883.91
7,1.5,0.000250738725,0.000227690675,1542860897.89,84.2,0.05,1542860890.89
8,1.5,0.000260990720833,0.0002100477125,1542860904.91,84.1,0.05,1542860897.89
9,1.5,0.0002765674,0.000191848395833,1542860911.85,84.0,0.05,1542860904.91
0,1.5,0.0003032703,0.000183185870833,1542860919.28,83.9,0.05,1542860911.85
1,1.5,0.0003366489,0.000170072883333,1542860925.88,83.8,0.05,1542860919.3
2,1.5,0.0003730474375,0.00017507965,1542860933.3,83.7,0.05,1542860925.89
3,1.5,0.000411035504167,0.000193278904167,1542860939.84,83.6,0.05,1542860933.31
4,1.5,0.000444096183333,0.00022077655,1542860947.27,83.5,0.05,1542860939.84
5,1.5,0.000466110183333,0.000251374525,1542860953.86,83.4,0.05,1542860947.28
6,1.5,0.000472626945833,0.000285786270833,1542860961.33,83.3,0.05,1542860953.87
7,1.5,0.000482799483333,0.0003209927375,1542860967.86,83.2,0.05,1542860961.33
8,1.5,0.0004885234125,0.000350238770833,1542860974.88,83.1,0.05,1542860967.86
9,1.5,0.000488602883333,0.000373603766667,1542860981.91,83.0,0.05,1542860974.88
0,1.5,0.0004820842375,0.000395299854167,1542860989.2,82.9,0.05,1542860981.92
1,1.5,0.000474855396,0.00041214178,1542860996.26,82.8,0.05,1542860989.21
2,1.5,0.0004603881375,0.000426771133333,1542861002.86,82.7,0.05,1542860996.27
3,1.5,0.0004433014375,0.0004393278,1542861010.29,82.6,0.05,1542861002.86
4,1.5,0.0004413146375,0.0004572092125,1542861016.85,82.5,0.05,1542861010.3
5,1.5,0.0004332084375,0.000471355395833,1542861024.39,82.4,0.05,1542861016.86
6,1.5,0.000422241166667,0.0004844685875,1542861030.86,82.3,0.05,1542861024.4
7,1.5,0.000418982775,0.000497662775,1542861037.91,82.2,0.05,1542861030.87
8,1.5,0.00040650555,0.000507596891667,1542861044.86,82.1,0.05,1542861037.91
9,1.5,0.0003989556,0.000525637191667,1542861051.88,82.0,0.05,1542861044.87
0,1.5,0.000394425645833,0.00053962445,1542861058.88,81.9,0.05,1542861051.88
1,1.5,0.0003937104,0.000558538991667,1542861065.87,81.8,0.05,1542861058.89
2,1.5,0.0003848094375,0.000578566166667,1542861072.93,81.7,0.05,1542861065.87
3,1.5,0.000375272704167,0.000592553395833,1542861079.84,81.6,0.05,1542861072.93
4,1.5,0.0003681201,0.000617428383333,1542861086.92,81.5,0.05,1542861079.85
5,1.5,0.000354132933333,0.000633402441667,1542861093.87,81.4,0.05,1542861086.93
6,1.5,0.000341646176,0.00064392464,1542861101.31,81.3,0.05,1542861093.87
7,1.5,0.000333867358333,0.00066988045,1542861107.87,81.2,0.05,1542861101.32
8,1.5,0.000319085383333,0.0006888744625,1542861115.36,81.1,0.05,1542861107.87
9,1.5,0.000296435608333,0.000714782641667,1542861121.88,81.0,0.05,1542861115.36
0,1.5,0.0002725937625,0.000735048179167,1542861128.85,80.9,0.05,1542861121.89
1,1.5,0.0002408038,0.0007552343,1542861135.89,80.8,0.05,1542861128.86
2,1.5,0.000209968241667,0.000786944004167,1542861142.86,80.7,0.05,1542861135.89
3,1.5,0.000169834466667,0.0008122958125,1542861149.96,80.6,0.05,1542861142.87
4,1.5,0.000118176625,0.000834866104167,1542861156.85,80.5,0.05,1542861149.97
5,1.5,5.77770770833e-05,0.000852509104167,1542861163.92,80.4,0.05,1542861156.86
6,1.5,-2.17756791667e-05,0.000856721175,1542861170.87,80.3,0.05,1542861163.92
7,1.5,-0.000122223648,0.000832218072,1542861178.29,80.2,0.05,1542861170.87
8,1.5,-0.000224909145833,0.000766201575,1542861184.86,80.1,0.05,1542861178.3
9,1.5,-0.000282289491667,0.000595970704167,1542861191.91,80.0,0.05,1542861184.87
0,1.5,-0.000237306891667,0.000457606583333,1542861198.88,79.9,0.05,1542861191.92
1,1.5,-0.000178814879167,0.000399591395833,1542861206.33,79.8,0.05,1542861198.9
2,1.5,-0.000130574820833,0.000382584195833,1542861212.88,79.7,0.05,1542861206.33
3,1.5,-9.48910625e-05,0.000382345791667,1542861219.85,79.6,0.05,1542861212.89
4,1.5,-7.14465675e-05,0.0003945845875,1542861226.88,79.5,0.05,1542861219.86
5,1.5,-4.80813145833e-05,0.000402293479167,1542861233.86,79.4,0.05,1542861226.89
6,1.5,-2.6703e-05,0.000416121783333,1542861240.94,79.3,0.05,1542861233.86
7,1.5,-1.46231008333e-05,0.00043297,1542861247.85,79.2,0.05,1542861240.94
8,1.5,-6.19892070833e-06,0.000456176066667,1542861254.91,79.1,0.05,1542861247.86
9,1.5,0.0,0.000475567470833,1542861261.44,79.0,0.05,1542861254.91
0,1.5,-2.46367720833e-06,0.000496709116667,1542861268.87,78.9,0.05,1542861261.45
1,1.5,-4.92734745833e-06,0.000516259441667,1542861275.83,78.8,0.05,1542861268.87
2,1.5,-1.43846804167e-05,0.000540896,1542861283.33,78.7,0.05,1542861275.84
3,1.5,-2.87693141667e-05,0.000566645241667,1542861289.83,78.6,0.05,1542861283.33
4,1.5,-4.39487229167e-05,0.000580791404167,1542861296.87,78.5,0.05,1542861289.83
5,1.5,-6.1874854e-05,0.00060203924,1542861303.88,78.4,0.05,1542861296.87
6,1.5,-8.21754058333e-05,0.000623309366667,1542861310.85,78.3,0.05,1542861303.89
7,1.5,-0.0001070504125,0.000646197541667,1542861317.93,78.2,0.05,1542861310.86
8,1.5,-0.0001335153,0.000659866925,1542861324.86,78.1,0.05,1542861317.93
9,1.5,-0.000162681891667,0.000673456741667,1542861332.3,78.0,0.05,1542861324.86
0,1.5,-0.0001994778,0.000691099708333,1542861338.86,77.9,0.05,1542861332.31
1,1.5,-0.000239214245833,0.000700000683333,1542861346.29,77.8,0.05,1542861338.86
2,1.5,-0.000280382116667,0.000700398033333,1542861352.86,77.7,0.05,1542861346.3
3,1.5,-0.000328463183333,0.000714862104167,1542861360.34,77.6,0.05,1542861352.86
4,1.5,-0.0003744779625,0.000714146854167,1542861366.85,77.5,0.05,1542861360.35
5,1.5,-0.000428837433333,0.000712318983333,1542861373.86,77.4,0.05,1542861366.86
6,1.5,-0.00048351475,0.000701272241667,1542861380.89,77.3,0.05,1542861373.86
7,1.5,-0.000545505425,0.000684821345833,1542861387.87,77.2,0.05,1542861380.9
8,1.5,-0.000606699520833,0.00066487365,1542861395.24,77.1,0.05,1542861387.87
9,1.5,-0.000674171975,0.000631177179167,1542861401.87,77.0,0.05,1542861395.24
0,1.5,-0.00074220075,0.000589851304167,1542861408.94,76.9,0.05,1542861401.87
1,1.5,-0.000799182829167,0.000540180745833,1542861415.88,76.8,0.05,1542861408.94
2,1.5,-0.000867608945833,0.000485342625,1542861423.3,76.7,0.05,1542861415.88
3,1.5,-0.0009314256625,0.000402452425,1542861429.84,76.6,0.05,1542861423.31
4,1.5,-0.000989444533333,0.000303508704167,1542861437.34,76.5,0.05,1542861429.84
5,1.5,-0.00102695570833,0.000195583616667,1542861443.82,76.4,0.05,1542861437.35
6,1.5,-0.00104507579167,7.90759620833e-05,1542861451.33,76.3,0.05,1542861443.83
7,1.5,-0.0010417375,-4.94323516667e-05,1542861457.88,76.2,0.05,1542861451.33
8,1.5,-0.00101352504167,-0.000176351220833,1542861464.87,76.1,0.05,1542861457.88
9,1.5,-0.0009710826125,-0.0002810179125,1542861471.89,76.0,0.05,1542861464.88
0,1.5,-0.000918471583333,-0.0003825841875,1542861478.87,75.9,0.05,1542861471.9
1,1.5,-0.000857754316667,-0.000473898525,1542861486.26,75.8,0.05,1542861478.87
2,1.5,-0.000786308208333,-0.000559492654167,1542861492.86,75.7,0.05,1542861486.26
3,1.5,-0.000693642841667,-0.0006211636125,1542861500.31,75.6,0.05,1542861492.87
4,1.5,-0.000600818525,-0.0006575621875,1542861506.84,75.5,0.05,1542861500.32
5,1.5,-0.000515445644,-0.000675815472,1542861514.32,75.4,0.05,1542861506.85
6,1.5,-0.0004511692625,-0.000693324945833,1542861520.82,75.3,0.05,1542861514.32
7,1.5,-0.000382027875,-0.0006929275875,1542861527.91,75.2,0.05,1542861520.83
8,1.5,-0.000318290675,-0.000692212341667,1542861534.89,75.1,0.05,1542861527.91
9,1.5,-0.0002669512,-0.000692609691667,1542861541.86,75.0,0.05,1542861534.9
0,1.5,-0.000215849204167,-0.000693404429167,1542861548.9,74.9,0.05,1542861541.87
1,1.5,-0.000172377583333,-0.000685775020833,1542861555.88,74.8,0.05,1542861548.91
2,1.5,-0.000136614766667,-0.0006668604625,1542861563.26,74.7,0.05,1542861555.89
3,1.5,-0.000104984095833,-0.000670436741667,1542861569.87,74.6,0.05,1542861563.26
4,1.5,-7.42281141667e-05,-0.000664476291667,1542861577.36,74.5,0.05,1542861569.87
5,1.5,-4.72865854167e-05,-0.0006451644125,1542861583.83,74.4,0.05,1542861577.37
6,1.5,-1.65304575e-05,-0.000638806579167,1542861591.27,74.3,0.05,1542861583.84
7,1.5,2.38420375e-06,-0.000629587733333,1542861597.86,74.2,0.05,1542861591.28
8,1.5,2.63056354167e-05,-0.000628316154167,1542861605.26,74.1,0.05,1542861597.86
9,1.5,5.10218125e-05,-0.000636104508333,1542861611.86,74.0,0.05,1542861605.27
0,1.5,7.28770766667e-05,-0.0006407934,1542861618.85,73.9,0.05,1542861611.86
1,1.5,0.000102838326667,-0.000658992675,1542861625.91,73.8,0.05,1542861618.86
2,1.5,0.000123104208333,-0.000655972720833,1542861632.89,73.7,0.05,1542861625.91
3,1.5,0.00015664195,-0.0006738540875,1542861640.23,73.6,0.05,1542861632.9
4,1.5,0.0001792917125,-0.000666383620833,1542861646.89,73.5,0.05,1542861640.23
5,1.5,0.0002121139875,-0.000678145620833,1542861653.94,73.4,0.05,1542861646.9
6,1.5,0.0002448573875,-0.000694755458333,1542861660.85,73.3,0.05,1542861653.94
7,1.5,0.00027704425,-0.000702941175,1542861668.28,73.2,0.05,1542861660.86
8,1.5,0.000313124916667,-0.000698252266667,1542861674.87,73.1,0.05,1542861668.28
9,1.5,0.000370345375,-0.000681562958333,1542861682.41,73.0,0.05,1542861674.87
0,1.5,0.000408333441667,-0.000675920370833,1542861688.87,72.9,0.05,1542861682.41
1,1.5,0.000437261545833,-0.000666542575,1542861695.9,72.8,0.05,1542861688.87
2,1.5,0.000474931666667,-0.000646038625,1542861702.92,72.7,0.05,1542861695.9
3,1.5,0.000520233095833,-0.0006272035375,1542861709.86,72.6,0.05,1542861702.92
4,1.5,0.0005515453625,-0.000596288579167,1542861716.9,72.5,0.05,1542861709.86
5,1.5,0.0005931891875,-0.000595891220833,1542861723.88,72.4,0.05,1542861716.9
6,1.5,0.000618302570833,-0.000586592916667,1542861730.94,72.3,0.05,1542861723.89
7,1.5,0.000671072533333,-0.000562671575,1542861737.86,72.2,0.05,1542861730.94
8,1.5,0.000736163992,-0.000529483692,1542861745.33,72.1,0.05,1542861737.86
9,1.5,0.000799023866667,-0.000486694745833,1542861751.87,72.0,0.05,1542861745.33
0,1.5,0.000876748295833,-0.0003897367625,1542861759.28,71.9,0.05,1542861751.88
1,1.5,0.000945412833333,-0.000290713595833,1542861765.88,71.8,0.05,1542861759.28
2,1.5,0.0009366708625,-0.000174443879167,1542861772.89,71.7,0.05,1542861765.89
3,1.5,0.000933571425,-5.72207091667e-05,1542861779.82,71.6,0.05,1542861772.89
4,1.5,0.000910921641667,3.01998679167e-05,1542861786.84,71.5,0.05,1542861779.83
5,1.5,0.0008146005125,0.000122786216667,1542861793.88,71.4,0.05,1542861786.84
6,1.5,0.000745141241667,0.000166655529167,1542861800.9,71.3,0.05,1542861793.88
7,1.5,0.000647548591667,0.000181914304167,1542861807.93,71.2,0.05,1542861800.9
8,1.5,0.0006419854875,0.000185411075,1542861814.86,71.1,0.05,1542861807.94
9,1.5,0.000675662888,0.000204239808,1542861822.31,71.0,0.05,1542861814.86
0,1.5,0.000741803370833,0.000257017091667,1542861828.86,70.9,0.05,1542861822.32
1,1.5,0.000789487125,0.000372729554167,1542861836.4,70.8,0.05,1542861828.87
2,1.5,0.000796878129167,0.0005641020875,1542861842.83,70.7,0.05,1542861836.41
3,1.5,0.000709537425,0.000784082979167,1542861850.32,70.6,0.05,1542861842.84
4,1.5,0.000439327833333,0.000833674029167,1542861856.81,70.5,0.05,1542861850.33
5,1.5,0.0002055177375,0.000723683604167,1542861863.89,70.4,0.05,1542861856.81
6,1.5,9.036110625e-05,0.000610434745833,1542861870.9,70.3,0.05,1542861863.89
7,1.5,4.74455304167e-05,0.0005079942625,1542861877.85,70.2,0.05,1542861870.9
8,1.5,3.552460375e-05,0.0004247843125,1542861885.27,70.1,0.05,1542861877.85
9,1.5,4.43460875e-05,0.000363431275,1542861891.85,70.0,0.05,1542861885.28
0,1.5,5.149865e-05,0.00034737775,1542861898.92,69.9,0.05,1542861891.86
1,1.5,5.27702104167e-05,0.000353656104167,1542861905.85,69.8,0.05,1542861898.93
2,1.5,1.29541500417e-05,0.000374001125,1542861913.28,69.7,0.05,1542861905.85
3,1.5,-2.042464125e-05,0.000289203620833,1542861919.83,69.6,0.05,1542861913.29
4,1.5,-2.10604229167e-05,0.000243347458333,1542861926.91,69.5,0.05,1542861919.84
5,1.5,-1.406677875e-05,0.0002098093,1542861934.2,69.4,0.05,1542861926.91
6,1.5,-9.536801125e-06,0.000181834854167,1542861940.88,69.3,0.05,1542861934.21
7,1.5,-2.30473029167e-06,0.000157118775,1542861947.91,69.2,0.05,1542861940.89
8,1.5,5.483656375e-06,0.000137568441667,1542861954.87,69.1,0.05,1542861947.92
9,1.5,1.454363125e-05,0.0001144414,1542861961.88,69.0,0.05,1542861954.87
0,1.5,2.51135416667e-05,9.15532e-05,1542861968.85,68.9,0.05,1542861961.89
1,1.5,3.90214075e-05,7.00160595833e-05,1542861975.91,68.8,0.05,1542861968.86
2,1.5,5.38033545833e-05,4.6730275e-05,1542861982.84,68.7,0.05,1542861975.91
